
=== OTF2-PRINT ===
=== Events =====================================================================
Event                               Location            Timestamp  Attributes
ENTER                                      0     7680567424382033  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567424382428  Sender: 42 ("Master thread" <42>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 19
LEAVE                                      0     7680567424382848  Region: "MPI_Wait" <205>
ENTER                                      0     7680567424397674  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567424397976  Sender: 37 ("Master thread" <37>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 20
LEAVE                                      0     7680567424398268  Region: "MPI_Wait" <205>
ENTER                                      0     7680567424412045  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567424413249  Sender: 43 ("Master thread" <43>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 24, Request: 21
LEAVE                                      0     7680567424413591  Region: "MPI_Wait" <205>
ENTER                                      0     7680567424425592  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567424425828  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567424425956  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567424426433  Request: 29
LEAVE                                      0     7680567424427806  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567424427987  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567424428166  Request: 30
LEAVE                                      0     7680567424428838  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567424429006  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567424429160  Request: 31
LEAVE                                      0     7680567424429737  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567424429903  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567424430039  Request: 32
LEAVE                                      0     7680567424430577  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567424430724  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567424430857  Request: 33
LEAVE                                      0     7680567424431402  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567424431587  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567424431722  Request: 34
LEAVE                                      0     7680567424432237  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567424432461  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567424432602  Request: 35
LEAVE                                      0     7680567424433158  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567424451144  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567424451370  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567424451655  Region: "MPI_Waitall" <206>
LEAVE                                      0     7680567424452164  Region: "MPI_Waitall" <206>
ENTER                                      0     7680567424452409  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567424452490  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567424452559  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567425098720  Sender: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 1009200, Request: 29
LEAVE                                      0     7680567425099297  Region: "MPI_Wait" <205>
ENTER                                      0     7680567425124538  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567425126624  Sender: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 1009200, Request: 30
LEAVE                                      0     7680567425127025  Region: "MPI_Wait" <205>
ENTER                                      0     7680567425152825  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567425153340  Sender: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 1009200, Request: 31
LEAVE                                      0     7680567425153758  Region: "MPI_Wait" <205>
ENTER                                      0     7680567425180865  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567425498943  Sender: 7 ("Master thread" <7>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 6960, Request: 32
LEAVE                                      0     7680567425499306  Region: "MPI_Wait" <205>
ENTER                                      0     7680567425522308  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567425522613  Sender: 42 ("Master thread" <42>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 6960, Request: 33
LEAVE                                      0     7680567425522916  Region: "MPI_Wait" <205>
ENTER                                      0     7680567425545232  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567425545544  Sender: 37 ("Master thread" <37>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 6960, Request: 34
LEAVE                                      0     7680567425545849  Region: "MPI_Wait" <205>
ENTER                                      0     7680567425567465  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567425880732  Sender: 43 ("Master thread" <43>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 48, Request: 35
LEAVE                                      0     7680567425881054  Region: "MPI_Wait" <205>
ENTER                                      0     7680567442934976  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567442935552  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567442935832  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567442936563  Request: 36
LEAVE                                      0     7680567442938084  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567442938364  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567442938551  Request: 37
LEAVE                                      0     7680567442939318  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567442939638  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567442939796  Request: 38
LEAVE                                      0     7680567442940538  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567442945989  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567442946188  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567443609518  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567443609843  Receiver: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 39
LEAVE                                      0     7680567443612505  Region: "MPI_Isend" <162>
ENTER                                      0     7680567443636089  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567443636334  Receiver: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 40
LEAVE                                      0     7680567443638140  Region: "MPI_Isend" <162>
ENTER                                      0     7680567443661928  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567443662151  Receiver: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 41
LEAVE                                      0     7680567443663791  Region: "MPI_Isend" <162>
ENTER                                      0     7680567443663975  Region: "MPI_Waitall" <206>
MPI_ISEND_COMPLETE                         0     7680567443801264  Request: 39
MPI_ISEND_COMPLETE                         0     7680567443801922  Request: 40
MPI_ISEND_COMPLETE                         0     7680567443802161  Request: 41
LEAVE                                      0     7680567443802544  Region: "MPI_Waitall" <206>
ENTER                                      0     7680567443803083  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567443803214  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567443803406  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567443803881  Sender: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 36
LEAVE                                      0     7680567443804310  Region: "MPI_Wait" <205>
ENTER                                      0     7680567443815471  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567443815988  Sender: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 37
LEAVE                                      0     7680567443816604  Region: "MPI_Wait" <205>
ENTER                                      0     7680567443828985  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567443829375  Sender: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 38
LEAVE                                      0     7680567443829832  Region: "MPI_Wait" <205>
ENTER                                      0     7680567444698390  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567444698743  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567444698884  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567444699143  Request: 42
LEAVE                                      0     7680567444700336  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567444700510  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567444700683  Request: 43
LEAVE                                      0     7680567444701310  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567444701458  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567444701625  Request: 44
LEAVE                                      0     7680567444702254  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567444702400  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567444702556  Request: 45
LEAVE                                      0     7680567444703112  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567444703237  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567444703406  Request: 46
LEAVE                                      0     7680567444704020  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567444704167  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567444704310  Request: 47
LEAVE                                      0     7680567444704894  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567444705113  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567444705269  Request: 48
LEAVE                                      0     7680567444705858  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567444747661  Region: "MPI_Allreduce" <6>
MPI_COLLECTIVE_BEGIN                       0     7680567444747661  
MPI_COLLECTIVE_END                         0     7680567447594384  Operation: ALLREDUCE, Communicator: "MPI_COMM_WORLD" <1>, Root: UNDEFINED, Sent: 1728, Received: 1728
LEAVE                                      0     7680567447595854  Region: "MPI_Allreduce" <6>
ENTER                                      0     7680567447596160  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567447596322  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567447621363  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567447621641  Receiver: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 49
LEAVE                                      0     7680567447623677  Region: "MPI_Isend" <162>
ENTER                                      0     7680567447647769  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567447648026  Receiver: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 50
LEAVE                                      0     7680567447649919  Region: "MPI_Isend" <162>
ENTER                                      0     7680567447679557  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567447679816  Receiver: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 51
LEAVE                                      0     7680567447681327  Region: "MPI_Isend" <162>
ENTER                                      0     7680567447701677  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567447701957  Receiver: 7 ("Master thread" <7>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 52
LEAVE                                      0     7680567447704169  Region: "MPI_Isend" <162>
ENTER                                      0     7680567447724166  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567447724399  Receiver: 42 ("Master thread" <42>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 53
LEAVE                                      0     7680567447726204  Region: "MPI_Isend" <162>
ENTER                                      0     7680567447745423  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567447745682  Receiver: 37 ("Master thread" <37>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 54
LEAVE                                      0     7680567447747257  Region: "MPI_Isend" <162>
ENTER                                      0     7680567447760431  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567447760660  Receiver: 43 ("Master thread" <43>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 24, Request: 55
LEAVE                                      0     7680567447762212  Region: "MPI_Isend" <162>
ENTER                                      0     7680567447762400  Region: "MPI_Waitall" <206>
MPI_ISEND_COMPLETE                         0     7680567447940373  Request: 49
MPI_ISEND_COMPLETE                         0     7680567447940802  Request: 50
MPI_ISEND_COMPLETE                         0     7680567447940976  Request: 51
MPI_ISEND_COMPLETE                         0     7680567447941148  Request: 52
MPI_ISEND_COMPLETE                         0     7680567447941328  Request: 53
MPI_ISEND_COMPLETE                         0     7680567447941489  Request: 54
MPI_ISEND_COMPLETE                         0     7680567447941639  Request: 55
LEAVE                                      0     7680567447941921  Region: "MPI_Waitall" <206>
ENTER                                      0     7680567447942525  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567447942650  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567447942853  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567447943066  Sender: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 42
LEAVE                                      0     7680567447943345  Region: "MPI_Wait" <205>
ENTER                                      0     7680567447958656  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567447958963  Sender: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 43
LEAVE                                      0     7680567447959264  Region: "MPI_Wait" <205>
ENTER                                      0     7680567447973508  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567447973772  Sender: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 44
LEAVE                                      0     7680567447974102  Region: "MPI_Wait" <205>
ENTER                                      0     7680567447988208  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567447988466  Sender: 7 ("Master thread" <7>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 45
LEAVE                                      0     7680567447988745  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448001394  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448001614  Sender: 42 ("Master thread" <42>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 46
LEAVE                                      0     7680567448001874  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448014776  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448015021  Sender: 37 ("Master thread" <37>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 47
LEAVE                                      0     7680567448015285  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448027980  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448030463  Sender: 43 ("Master thread" <43>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 24, Request: 48
LEAVE                                      0     7680567448030754  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448041298  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567448041467  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567448041574  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567448041818  Request: 56
LEAVE                                      0     7680567448042909  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567448043067  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567448043233  Request: 57
LEAVE                                      0     7680567448043890  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567448044030  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567448044172  Request: 58
LEAVE                                      0     7680567448044694  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567448044836  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567448044980  Request: 59
LEAVE                                      0     7680567448045514  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567448045625  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567448045761  Request: 60
LEAVE                                      0     7680567448046331  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567448046456  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567448046593  Request: 61
LEAVE                                      0     7680567448047130  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567448047287  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567448047425  Request: 62
LEAVE                                      0     7680567448047999  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567448067241  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567448067452  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567448067705  Region: "MPI_Waitall" <206>
LEAVE                                      0     7680567448068201  Region: "MPI_Waitall" <206>
ENTER                                      0     7680567448068565  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567448068639  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567448068712  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448670897  Sender: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 1009200, Request: 56
LEAVE                                      0     7680567448671460  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448701474  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448702419  Sender: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 1009200, Request: 57
LEAVE                                      0     7680567448702851  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448725692  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448725962  Sender: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 1009200, Request: 58
LEAVE                                      0     7680567448726310  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448748023  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448903360  Sender: 7 ("Master thread" <7>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 6960, Request: 59
LEAVE                                      0     7680567448903674  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448926028  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448926318  Sender: 42 ("Master thread" <42>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 6960, Request: 60
LEAVE                                      0     7680567448926648  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448947830  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567448948983  Sender: 37 ("Master thread" <37>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 6960, Request: 61
LEAVE                                      0     7680567448949306  Region: "MPI_Wait" <205>
ENTER                                      0     7680567448971624  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567449316612  Sender: 43 ("Master thread" <43>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 2048, Length: 48, Request: 62
LEAVE                                      0     7680567449316890  Region: "MPI_Wait" <205>
ENTER                                      0     7680567449334821  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567449334994  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567449335103  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567449335368  Request: 63
LEAVE                                      0     7680567449336408  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567449336571  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567449336736  Request: 64
LEAVE                                      0     7680567449337448  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567449337592  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567449337741  Request: 65
LEAVE                                      0     7680567449338288  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567449342652  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567449342829  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567450000877  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567450001129  Receiver: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 66
LEAVE                                      0     7680567450002840  Region: "MPI_Isend" <162>
ENTER                                      0     7680567450026754  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567450026986  Receiver: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 67
LEAVE                                      0     7680567450028686  Region: "MPI_Isend" <162>
ENTER                                      0     7680567450062841  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567450063091  Receiver: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 68
LEAVE                                      0     7680567450064398  Region: "MPI_Isend" <162>
ENTER                                      0     7680567450064624  Region: "MPI_Waitall" <206>
MPI_ISEND_COMPLETE                         0     7680567450175808  Request: 66
MPI_ISEND_COMPLETE                         0     7680567450176312  Request: 67
MPI_ISEND_COMPLETE                         0     7680567450176519  Request: 68
LEAVE                                      0     7680567450176968  Region: "MPI_Waitall" <206>
ENTER                                      0     7680567450177463  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567450177612  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567450177694  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567450177956  Sender: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 3072, Length: 497664, Request: 63
LEAVE                                      0     7680567450178310  Region: "MPI_Wait" <205>
ENTER                                      0     7680567450190630  Region: "MPI_Wait" <205>
